"ccode","decade","pop","pop2","gdp","gdp2","lab","cra","edu","att","lif","hgt","pol","id","hom","bio","c2p","s2p","s2t","c2t","ine","region","ctr"
12,1950,9774,9774,1529.720982,1364.739583,15.61149184,20.75899457,1.06,18.3,43.9425,169.763214751747,1,NA,0.493445063614159,0.942,0.12,0,14,1255.1,40.6405285028507,"MENA","Algeria"
12,1960,11965.4,11965.4,1839.6160197,2088.103086,18.51413846,37.02827693,1.23,18.5,48.374,170.146113678803,1,NA,0.869855080089062,0.929,0.16,0,34,1984.7,40.8017470214205,"MENA","Algeria"
12,1970,15972.3,15972.3,2548.2499955,2249.219713,25.4130958066667,31.553203356,1.76,25.4,53.2085,170.529876229868,2,0,1.53339837836213,0.931,0.3,0.01,114,9641.6,40.9636050841028,"MENA","Algeria"
12,1980,21655.2,21655.2,3219.6325806,3151.825198,27.619684472,35.0947490302639,3.24,47.6,63.7245,170.914504352839,2,0.29,2.70310611570248,0.93,0.96,0.01,146,17972.1,41.1261052279302,"MENA","Algeria"
12,1990,27680.4,27680.4,2754.0890138,2946.865622,32.8312316466667,39.0337993769182,5.02,63.4,67.8505,171.3,9,3.21,4.76509090909091,0.936,0.83,0.01,138,24802.8,41.28925,"MENA","Algeria"
12,2000,32129.6666666667,32129.6666666667,3219.9378642,2849.066039,35.6023474440272,43.4149704983955,6.45,74.9,69.832,169.5,8,15.64,8.4,0.933,1.04,0.01,184,32164.7777777778,40.9113652767026,"MENA","Algeria"
12,2010,35423,35423,3512.580739,3512.580739,38.6073589064978,48.2878862284445,7.3,81.1,79.2424615048166,169.587703859799,NA,NA,5.68615384615385,0.931,1,Inf,Inf,101582.221119488,40.5369390047964,"MENA","Algeria"
16,1820,3,3,NA,NA,0.495512122674813,9.95966593007741,NA,NA,NA,NA,NA,NA,NA,0.921,0,0,NA,NA,NA,"South and South-East Asia","American Samoa"
16,1830,4,4,NA,NA,0.667926045101096,11.1147120703507,NA,NA,NA,NA,NA,NA,NA,0.919,0,0,NA,NA,NA,"South and South-East Asia","American Samoa"
16,1840,4,4,NA,NA,0.900331558622972,12.4037116580114,NA,NA,NA,NA,NA,NA,NA,0.916,0,0,NA,NA,NA,"South and South-East Asia","American Samoa"
16,1850,4,4,NA,NA,1.21360279539598,13.8421995928711,NA,NA,NA,NA,NA,NA,NA,0.913,0,0,0,NA,NA,"South and South-East Asia","American Samoa"
